ENGINE SIZE,CYLINDERS,FUEL CONSUMPTION,COEMISSIO
2.8,6.0,14.7,288.0
2.8,6.0,13.4,262.0
1.8,4.0,13.2,258.0
1.8,4.0,11.2,225.0
2.8,6.0,14.7,288.0
2.8,6.0,13.4,262.0
2.3,5.0,14.2,285.0
2.3,5.0,13.4,269.0
2.4,5.0,13.9,278.0
2.3,5.0,13.9,274.0
2.3,5.0,13.0,260.0
2.4,5.0,13.6,274.0
2.4,5.0,13.2,262.0
2.4,5.0,12.6,251.0
2.4,5.0,14.4,288.0
2.4,5.0,13.6,274.0
2.3,5.0,13.9,274.0
2.3,5.0,13.0,260.0
2.9,6.0,14.5,285.0
2.8,6.0,15.1,297.0
2.4,5.0,13.2,262.0
2.4,5.0,12.6,251.0
2.4,5.0,14.4,288.0
2.4,5.0,13.6,274.0
2.3,5.0,13.9,274.0
2.3,5.0,13.0,260.0
2.4,5.0,14.7,299.0
